transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
one-half m v squared,$\frac{1}{2}mv^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,0.5 of 2.5 of 2.5.,1 half m v squared.
one-half m r squared omega squared,$\frac{1}{2}mr^{2}\omega^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,1.5 m r squared omega squared.,one-half m r squared omega squared.
x squared plus y squared,$x^{2}+y^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,X-quępus waist Io.,x squared plus y squared.
pi a to the four over two,$\pi a^{4} \over 2$,https://www.youtube.com/watch?v=60e4hdCi1D4,by 8 to the 4 of up to.,pi a to the fourth over two.
four a to the four cosine to the four theta,$4a^4\cos^{4}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,"4, 8, 4, cos 9 to the 4 theta.",4a to the 4 cosine to the 4 theta.
three halves of pi a to the fourth,$\frac{3}{2}(\pi a^{4})$,https://www.youtube.com/watch?v=60e4hdCi1D4,three halves of pi a to the four.,3.5 pi a to the 4.
y of t minus two equals t,$y(t)-2=t$,https://www.youtube.com/watch?v=57jzPlxf4fk,y of t minus 2 equals t.,y of t minus two equals t.
z of t minus two equals minus 3t,$z(t)-2=-3t$,https://www.youtube.com/watch?v=57jzPlxf4fk,z of t minus 2 equals minus 3t.,z of t minus two equals minus three t.
minus one plus two t,$\displaystyle -1+2t$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t.,minus 1 plus 2t.
y of t equals two plus t,$y(t)=2+t$,https://www.youtube.com/watch?v=57jzPlxf4fk,y of t equals 2 plus t.,y of t equals 2 plus t.
z of t equals two minus 3t,$z(t)=2-3t$,https://www.youtube.com/watch?v=57jzPlxf4fk,z of t equals 2 minus 3t.,z of t equals 2 minus 3t.
Q of t is Q0 plus t times the vector Q0 Q1,"$Q(t)=Q_{0}+t\vec{Q_{0},Q_{1}}$",https://www.youtube.com/watch?v=57jzPlxf4fk,Q of t is Q0 plus t times the vector Q0Q1.,Q of t is q0 plus t times the vector q0 q1.
x plus 2y plus 4z equals seven,$x+2y+4z=7$,https://www.youtube.com/watch?v=57jzPlxf4fk,x plus 2y plus 4z equals 7.,x plus 2y plus 4z equals 7.
minus one plus 2t plus twice two plus t plus four times two minus 3t,$(-1+2t)+2(2+t)+4(2-3t)$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t plus twice 2 plus t plus 4 times 2 minus 3t.,minus one plus 2t plus twice 2t plus four times 2 minus 3t.
minus one plus four plus eight is eleven,$-1+4+8=11$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 4 plus 8 is 11.,minus one plus four plus eight is 11.
one times two plus two times one plus four times minus three,$1\times2+2\times1+4\times(-3)$.,https://www.youtube.com/watch?v=57jzPlxf4fk,1 times 2 plus 2 times 1 plus 4 times minus 3.,1 times 2 plus 2 times 1 plus 4 times minus 3.
a theta minus a sine theta,$a\theta-a\sin \theta $,https://www.youtube.com/watch?v=57jzPlxf4fk,a theta minus a sine theta.,a theta minus a sine theta.
x of theta is theta minus sine theta,$x(\theta) = \theta-\sin \theta$,https://www.youtube.com/watch?v=57jzPlxf4fk,X of theta is theta minus sine theta.,X of theta is theta minus sine theta.
one minus theta squared over two,$1-\theta^{2}\over2$,https://www.youtube.com/watch?v=57jzPlxf4fk,"2, 1 minus theta square over 2.",1 minus theta squared over 2.
theta minus theta cubed over six,$\theta-\frac{\theta^{3}}{6}$,https://www.youtube.com/watch?v=57jzPlxf4fk,theta minus theta cubed over 6.,Theta minus theta cubed over six.
theta squared over two,$\frac{\theta^2}{2}$,https://www.youtube.com/watch?v=57jzPlxf4fk,square of a tube.,theta squared over two.
square root of one minus cosine t squared plus sine squared t,$\sqrt{1-\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 1 minus cosine t squared plus sine square t.,square root of one minus cosine t squared plus sine square t.
square root of one minus two cosine t plus cosine squared t plus sine squared t,$\displaystyle\sqrt{1-2\cos t+\cos ^{2}t+\sin ^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 1 minus 2 cosine t plus cosine square t plus sine square t.,square root of one minus two cosine t plus cosine square t plus sine square t.
cosine squared plus sine squared,$\cos ^{2}+\sin ^{2}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,go sine square up to sine square,cosine square plus sine square.
square root of two minus two cosine t,$\sqrt{2-2\cos t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 2 minus 2 cosine t.,root of 2 minus 2 cosine t.
d by dt of r cross v is the zero vector,$\displaystyle\frac{d}{dt}(\mathbf{r}\times\mathbf{v})=\mathbf{0}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,d by dt of 1 cross v is 0 vector.,d by dt of r cross v is the zero vector.
uv prime equals u prime v plus u v prime,$(uv)^{\prime}=u^{\prime}v+uv^{\prime}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,uv prime equals u prime v plus uv prime.,uv prime equals u prime v plus uv prime.
dr dt cross v plus r cross dv dt,$\displaystyle\frac{d\mathbf{r}}{dt}\times \mathbf{v}+\mathbf{r}\times \frac{d\mathbf{v}}{dt}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,dR dt cos v plus 1 cos dV dt.,dR dt cross v plus R cross dv dt.
the antiderivative of sine x cosine x,$\int{\sin x \cos x} dx$,https://www.youtube.com/watch?v=60VGKnYBpbg,The anti-derivative of sine x cosine x.,The antiderivative of sine x cosine x.
C1 minus C2 plus a half is equal to zero,$\mathcal{C}_{1}-\mathcal{C}_{2}+\frac{1}{2}=0$,https://www.youtube.com/watch?v=60VGKnYBpbg,C1 minus C2 plus a half is equal to zero.,C1 minus C2 plus 1 by 2 is equal to 0.
minus x squared over two,$-\frac{x^{2}}{2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,minus x squared over 2.,minus x squared over 2.
A e to the minus x squared over two,$Ae^{-\frac{x^{2}}{2}}$,https://www.youtube.com/watch?v=60VGKnYBpbg,A e to the minus x squared over 2.,a e to the minus x squared over 2.
a times d by dx of e to the minus x squared over two,$\displaystyle a\frac{d}{dx}(e^{-\frac{x^{2}}{2}})$,https://www.youtube.com/watch?v=60VGKnYBpbg,A times d by dx of e to the minus x squared over 2.,a times d by dx of e to the minus x squared over 2.
h inverse of f of x plus c,$h^{-1}(f(x))+c$,https://www.youtube.com/watch?v=60VGKnYBpbg,to h inverse of f of x plus c.,To h inverse of f of x plus c.
natural log of absolute y is equal to minus x squared over 2 plus c,$\ln(|y|)=-\frac{x^{2}}{2}+c$,https://www.youtube.com/watch?v=60VGKnYBpbg,Natural log of absolute y is equal to minus x squared over 2 plus c.,Natural log of absolute y is equal to minus x squared over
plus or minus a e to the minus x squared over two,$\pm ae^{-x^{2}/2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,plus or minus a e to the minus x squared over 2.,Plus or minus a e to the minus x squared over 2.
log y plus c one is equal to minus x squared over two plus c two,$\log y+c_{1}=-\frac{x^{2}}{2}+c_2$,https://www.youtube.com/watch?v=60VGKnYBpbg,Log y plus c1 is equal to minus x squared over 2 plus c2.,Log y plus c1 is equal to minus x squared over 2 plus c2.
log y is equal to minus x squared over 2 plus c2 minus c1,$\log y=-\frac{x^{2}}{2}+c_{2}-c_{1}$,https://www.youtube.com/watch?v=60VGKnYBpbg,The log y is equal to minus x squared over 2 plus c2 minus c1.,So log y is equal to minus x squared over 2 plus c2 minus c1.
a times e to the minus 0 squared over 2 is equal to 3,$ae^{-\frac{0^{2}}{2}}=3$,https://www.youtube.com/watch?v=60VGKnYBpbg,A times e to the minus 0 squared over 2 is equal to 3.,a times e to the minus 0 squared over 2 is equal to 3.
y is equal to 3e to the minus x squared over 2,$y = 3e^{-x^{2}/2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,So y is equal to 3 e to the minus x squared over 2.,y is equal to 3 e to the minus x squared over 2.
twice the logarithm of x plus a constant,$2\log(x)+\text{c}$,https://www.youtube.com/watch?v=60VGKnYBpbg,twice the logarithm of x plus a constant.,"twice the logarithm of x, plus a constant."
e to the log y is equal to e to the 2 log x plus c,$e^{\log y} = e^{2\log(x)+c}$,https://www.youtube.com/watch?v=60VGKnYBpbg,e to the log y is equal to e to the 2 log x plus c.,e to the log y is equal to e to the 2 log x plus c.
e to the log x squared,$(e^{\log x})^2$,https://www.youtube.com/watch?v=60VGKnYBpbg,e to the log x squared.,e to the log x squared.
minus 1 divided by 2 y divided by x,$-\frac{1}{2(y/x)}$,https://www.youtube.com/watch?v=60VGKnYBpbg,minus 1 divided by 2y divided by x.,Minus 1 divided by 2 y divided by x.
dy dx is equal to minus x over 2y,$\frac{dy}{dx} = -\frac{x}{2y}$,https://www.youtube.com/watch?v=60VGKnYBpbg,dy dx is equal to minus x over 2y.,dy dx is equal to minus x over 2y.
x squared over 2 plus y squared,$\frac{x^{2}}{2}+y^{2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,x squared over 2 plus y squared.,"x squared over 2, plus y squared."
y is equal to minus the square root of a squared minus x squared over two,$y=-\sqrt{a^{2}-\frac{x^{2}}{2}}$,https://www.youtube.com/watch?v=60VGKnYBpbg,y is equal to minus the square root of a squared minus x squared over 2.,y is equal to minus the square root of a squared minus x squared over 2.
 x to the 1 half times 2,$x^{\frac{1}{2}} \times (2)$,https://www.youtube.com/watch?v=MK_0QHbUnIA,x to the 1 half times 2.,x to the 1 half times 2.
dx over x to the p,$\frac{dx}{x^{p}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,d x over x to the p.,dx over x to the p.
1 over 1 minus p,$\frac{1}{1-p}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over 1 minus p.,1 over 1 minus p.
the integral from 1 to infinity dx over x, $\int_{1}^{\infty} \frac{dx}{x}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,The integral from one to infinity dx over x.,The integral from 1 to infinity dx over x.
y equals 1 over the square root of x,$y=1/\sqrt{x}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,y equals 1 over the square root of x.,y equals 1 over the square root of x.
y equals 1 over x minus 3 squared,$y=\frac{1}{(x-3)^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,y equals 1 over x minus 3 squared.,y equals 1 over x minus 3 squared.
1 plus a plus a squared,$1+a+a^{2}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus a plus a squared.,It's 1 plus a plus a squared.
one over one minus a,$\frac{1}{1-a}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over 1 minus a.,1 over 1 minus a.
sum 1 over n squared n equals 1 to infinity,$\sum_{n=1}^{\infty} 1/n^{2}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,"to sum 1 over n squared, n equals 1 to infinity.","to sum 1 over n squared, n equals 1 to infinity."
pi squared over 6,$\frac{\pi^{2}}{6}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,pi squared over 6.,Pi squared over 6.
one over n cubed,$\frac{1}{n^{3}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,One over and cubed.,1 over n cubed.
one plus one over two plus all the way up to one over n minus one plus 1 over n,$1+\frac{1}{2}+\mathrm{\ldots}+\frac{1}{n-1}+\frac{1}{n}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.
a half plus a third,$\frac{1}{2}+\frac{1}{3}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1.5 plus 1.3.,A half plus a third.
1 over n squared plus 1 square root,$\frac{1}{n^{2} + 1}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over n squared plus 1 squared root.,1 over n squared plus 1 square root.
sum one over n to the five-halves,$\sum\frac{1}{n^{5/2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,some 1 over n to the 5 halves.,Sum 1 over n to the 5 halves.
one times one plus two times minus two plus minus three times one,$1\times1+2\times(-2)+(-3)\times1$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,"1 times 1 plus 2 times minus 2, minus 3 times 1.",1 times 1 plus 2 times minus 2 minus 3 times 1.
x plus 3y plus z equals zero,$x+3y+z=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x plus free y plus z equals zero.,x y z equals zero.
 minus 2x minus z will be x plus 3y plus z,$-2x-z\operatorname{=}x+3y+z$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,minus 2x minus z will be x plus 3y plus z.,2x minus z will be x plus free y plus z.
x equals minus 3t,$x=-3t$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x equals minus 3t.,x equals minus 3t.
y equals 3t,$y=3\mathfrak{t}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,y equals 3t,y equals 3t.
z equals negative 6t,$z\!=\!-6t$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,z equals negative 60.,z equals negative 60.
dr dt dot r plus r dot dr dt,$\displaystyle \frac{dr}{dt}\cdot{r}+r\cdot\frac{dr}{dt}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,d r d t dot 1 plus 1 dot d r d t.,dr dt dot r plus r dot dr dt.
d by dt of r dot r is zero,$\displaystyle \frac{d}{dt}(\mathbf{r}\cdot\mathbf{r})=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,d by dt of r dot r is 0.,d by dt of r dot r is zero.
minus v dot v,$-\mathbf{v}\cdot\mathbf{v}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,minus V dot V.,minus v dot v.
f of x y equals one over x plus y,"$f(x,y)=\frac{1}{x+y}$",https://www.youtube.com/watch?v=dK3NEf13nPc,f of xy equals one of our x plus y.,"f of x, y equals one over x plus y."
f of x y equals one minus x squared minus y squared,"$f(x,y)=1-x^{2}-y^{2}$",https://www.youtube.com/watch?v=dK3NEf13nPc,f of xy equals 1 minus x squared minus y squared.,"f of x, y equals 1 minus x squared minus y squared."
z equals one minus x squared minus y squared,$z=1-x^{2}-y^{2}$,https://www.youtube.com/watch?v=dK3NEf13nPc,z equals 1 minus x square minus y square root.,z equals one minus x squared minus y squared.
x squared plus y squared equals one,$x^{2}+y^{2}=1$,https://www.youtube.com/watch?v=dK3NEf13nPc,x squared plus y squared equals 1.,x squared plus y squared equals one.
f prime at x0 times delta x,$ f^{\prime}(x_{0})\Delta x$,https://www.youtube.com/watch?v=dK3NEf13nPc,f prime at x0 times delta xy.,f prime at x0 times delta x.
d dy of y to the n times dy dx,$\displaystyle (\frac{d}{dy}y^{n})\frac{dy}{dx}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,d by dy of y to the n times dy dx.,"d by dy of y to the n, times dy dx."
m x to the n minus one,$(mx^{m-1})$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,m x to the m minus 1.,x m x to the m minus 1.
n y to the n minus 1 ,$(ny^{n-1})$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,n y to the n minus 1.,n y to the n minus 1.
x to the m minus one,$\mathcal{x}^{m-1}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,x to the m minus 1.,x to the m minus 1.
x to the m over n times n minus 1,$x^\frac{m}{n}{(n-1)}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,x to the m over n times n minus 1.,x to the m over n times n minus 1.
minus one plus m over n,$-1+\frac{m}{n}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,minus 1 plus m over n.,Minus 1 plus m over n.
a minus one,$\mathsf{a}-1$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,A minus 1.,A minus 1.
a x to the a minus one,$(ax^{a-1})$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,A x to the A minus 1.,Ax to the a minus 1.
y is equal to plus or minus square root of 1 minus x squared,$y =\pm\sqrt{1-x^{2}}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,y is equal to plus or minus square root of 1 minus x squared.,y is equal to plus or minus square root of 1 minus x squared.
2 x plus 2 y y prime,$2x+2yy^{\prime}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,2x plus 2y y prime.,2x plus 2yy prime.
y to the fourth plus xy squared minus two is equal to zero,$y^{4}+xy^{2}-2=0$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,"So y to the fourth plus x, y squared minus two is equal to zero.",So y to the fourth plus xy squared minus 2 is equal to 0.
four y cubed y prime,$4y^{3}y^{\prime}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,4 y cubed y prime.,4 y cubed y prime.
minus y squared divided by 4y cubed plus 2xy,$-\frac{y^{2}}{4y^{3}+2xy}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,minus y squared divided by 4y cubed plus 2xy.,Minus y squared divided by 4y cubed plus 2xy.
y to the fourth plus xy squared minus 2 is equal to zero,$y^{4}+xy^{2}-2=0$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,"y to the fourth plus x, y squared minus 2 is equal to 0.",y to the fourth plus x y squared minus 2 is equal to 0.
 minus 1 squared divided by 4 times 1 cubed plus 2 times 1 times 1,$\frac{(-1)^2}{4\times1^{3}+2\times1\times1}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,minus 1 squared divided by 4 times 1 cubed plus 2 times 1 times 1.,Minus 1 squared divided by 4 times 1 cubed plus 2 times 1 times 1.
tan inverse x is equal to pi over two,$\operatorname{\tan}^{-1}x=\frac{\pi}{2}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,10 inverse x is equal to pi over 2.,tan inverse x is equal to pi over 2.
d by dy tan y times dy dx,$\displaystyle \frac{d}{dy}\tan(y)\frac{dy}{dx}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,d by dy tan y times dy dx.,d by dy tan y times dy dx.
d by dx of tan inverse of x,$\frac{d}{dx}(tan^{-1}(x))$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,d by dx of tan inverse of x.,d by dx of tan inverse of x.
 cosine squared of tan inverse x,$\cos^{2}(tan^{-1}x)$ ,https://www.youtube.com/watch?v=5q_3FDOkVRQ,cosine squared of tan inverse x.,Cosine squared of tan inverse x.
one over 1 plus x squared,$\frac{1}{1+x^{2}}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,1 over 1 plus x squared.,1 over 1 plus x squared.
d by dx of tan inverse x is equal to one over 1 plus x squared,$\frac{d}{dx}(tan^{-1}x)=\frac{1}{1 + x^{2}}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,d by dx of tan inverse x is equal to 1 over 1 plus x squared.,d by dx of tan inverse x is equal to 1 over 1 plus x squared.
1 over square root of 1 minus x squared,$\frac{1}{\sqrt{1-x^{2}}}$,https://www.youtube.com/watch?v=5q_3FDOkVRQ,1 over square root of 1 minus x squared.,1 over square root of 1 minus x squared.
a to the x1 plus x2 is a to the x1 times a to the x2,$\displaystyle a^{x_1 + x_2} = a^{x_{1}}\cdot a^{x_{2}}$,https://www.youtube.com/watch?v=9v25gg2qJYE,A to the x1 plus x2 is A to the x1 times A to the x2.,a to the x 1 plus x 2 is a to the x 1 times a to the x 2.
 a to the x plus delta x ,$a^{x+\Delta x}$,https://www.youtube.com/watch?v=9v25gg2qJYE,A to the x plus delta x.,A to the x plus delta x.
M of a is equal to the limit as delta x goes to 0 of a to the delta x minus 1 divided by delta x,$M(a)=\lim_{\Delta x\to 0}\frac{a^{\Delta x}-1}{\Delta x}$,https://www.youtube.com/watch?v=9v25gg2qJYE,m of a is equal to the limit as delta x goes to 0 of a to the delta x minus 1 divided by delta x.,M of a is equal to the limit as delta x goes to 0 of a to the delta x minus 1 divided by delta x.
