transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE,MathSpeech_LaTeX_result_medium
u prime v minus uv prime divided by v squared,$u^{\prime}v - uv^{\prime} \over v^{2}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,u prime v minus u v prime divided by v squared.,u'v uv' divided by v squared.,"$u^{\prime}v,uv^{\prime}/v^{2}$"
v plus delta v,$v+\Delta v$,https://www.youtube.com/watch?v=4sTKcvYMNxk,V plus delta V.,V plus delta V.,$V+\DeltaV$
v to the minus 2 v prime minus v prime divided by v squared,$v^{-2}v^{\prime} - \frac{v^{\prime}}{v^2}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,V to the minus 2 V prime. Minus V prime divided by V squared.,"V to the minus 2, V prime. Minus V prime divided by V squared.",$v^{-2}v^{\prime}-v^{\prime}/v^{2}$
10 times sine of t raised to the 9th power,$10 \sin^{9}(t)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,10 times sign a T raised to the 9th power.,10 times sine of t raised to the ninth power.,$10\sin(t)^{9}$
sine to the 9th of t cosine of t,$\sin^{9}(t)\cos(t)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,sine to the ninth of t cosine of t.,to the ninth of t cosine of t.,"$to9(t),cos(t)$"
D cubed x to the n,$D^{3}x^{n}$,https://www.youtube.com/watch?v=4sTKcvYMNxk,d cubed x to the n is,D cubed x to the n is.,$d^{3}x^{ns}$
n times n minus 1,$n\times (n-1)$,https://www.youtube.com/watch?v=4sTKcvYMNxk,n times n minus 1.,n times n minus 1.,$N\times(N-1)$
D to the n plus 1 applied to x to the n,$\mathcal{D}^{n+1}(x^{n})$,https://www.youtube.com/watch?v=4sTKcvYMNxk,D to the n plus 1 apply to x to the n.,"D to the n plus 1, apply to x to the n.",$\mathcal{D}^{n+1}(X^{n})$
length A squared equals length B squared plus one,${a}^{2}={b}^{2} + 1$,https://www.youtube.com/watch?v=PxCxlsl_YwY,length a squared equals length b squared plus 1.,Length a squared equals length b squared plus one.,$length_{a}^{2}=length_{b}^{2}+1$
length of A is square root of length B squared plus one,$\mathrm{|A|} = \sqrt{\mathrm{|B|^{2} + 1}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,length of a is square root of length b squared plus 1.,Length of A is square root of length b squared plus one.,$\text{length}(A)\sqrt{\text{length}(B)^{2}+1}$
square root of 13 plus one is square root of 14,$\sqrt{{13}+1}=\sqrt{14}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The square root of 13 plus 1 is square root of 14.,The square root of 13 plus 1 is square root of 14.,$(\sqrt{13}+1)\sqrt{14}$
the length of a is the square root of a one squared plus a two squared plus a three squared,$|a|=\sqrt{a_{1}^{2}+a_{2}^{2}+a_{3}^{2}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The length of a is the square root of a1 squared plus a2 squared plus a3 squared.,The length of a is the square root of a1 squared plus a2 squared plus a3 squared.,$\ell(a)=\sqrt{a_{1}^{2}+a_{2}^{2}+a_{3}^{2}}$
 a dot b minus b dot a plus b dot b,$a\cdot b-b\cdot a+b\cdot b$,https://www.youtube.com/watch?v=PxCxlsl_YwY,A dot B minus B dot A plus B dot B.,a dot b minus b dot a plus b dot b.,$A\cdotB-B\cdotA+B\cdotB$
a dot a is length a squared,$a\cdot a = |a|^2$,https://www.youtube.com/watch?v=PxCxlsl_YwY,A dot A is length A squared.,a dot a is length a squared.,$A.A\text{islength}A^{2}$
cosine theta is PQ dot PR over length PQ length PR,$\cos(\theta) = \frac{{\mathsf{PQ} \cdot \mathsf{PR}}}{{|\mathsf{PQ}| \cdot |\mathsf{PR}|}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,The cosine theta is pq.pr over length pq.,cosine theta is pq.pr over length pq length pr.,$\displaystyle\cos\theta\text{is}pq\text{.}pr\text{/length}pq\text{/length}%pr$
minus one squared plus one squared plus zero squared square root,$\sqrt{(-1)^{2} + 1^{2} + 0^{2}}$,https://www.youtube.com/watch?v=PxCxlsl_YwY,"minus 1 squared, plus 1 squared, plus 0 squared, square root.","minus one squared plus one squared plus zero squared, square root.","$-(1^{2}+1^{2}+0^{2},\surd)$"
x plus two y plus three z equals zero,$x+2y+3z=0$,https://www.youtube.com/watch?v=PxCxlsl_YwY,x plus 2y plus 3z equals 0.,x plus 2y plus 3z equals 0.,$x+2y+3z=0$
OP dot A equals zero,$\mathsf{OP}\cdot \mathsf{A}=0$,https://www.youtube.com/watch?v=PxCxlsl_YwY,O p dot a equals 0.,OP dot A equals zero.,$\mathsf{OPT}.A=0$
x times one plus y times two plus z times three,$x\cdot 1 + y\cdot 2 + z\cdot 3$,https://www.youtube.com/watch?v=PxCxlsl_YwY,x times 1 plus y times 2 plus z times 3.,x times one plus y times two plus z times three.,$x(1)+y(2)+z(3)$
x equals r cosine theta,$x=r\cos \theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,x equals r cosine theta.,x equals r cosine theta.,$x=\mathrm{arccos}\theta$
y equals r sine theta,$y=r\sin \theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,Y equals of Westerners.,y equals r sine theta.,$y=r\sin\theta$
one minus x squared minus y squared,$1-x^{2}-y^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,1 minus x square minus y squared.,1 minus x squared minus y squared.,$1-x^{2}-y^{2}$
r squared cosine squared theta,$r^{2}\cos^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,UCF Valley vet,r square cosine square theta.,$r^{2}\cos^{2}\theta$
r squared sine squared theta,$r^{2}\sin^{2}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,then pass through here deeply,r squared sine squared.,$r^{2}\sin^{2}$
the integral from zero to pi over two integral from zero to one of one minus r squared r dr d theta,$\displaystyle\int_{0}^{\frac{\pi}{2}}\int_{0}^{1}(1-r^{2})r dr d\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,"integral from 0 to pi over 2, integral from 0 to 1 of 1 minus r squared of 1 minus r squared of d r d theta.","integral from zero to pi over two, integral from zero to one of one minus r squared r dr d theta.",$\displaystyle\int_{0}^{\frac{\pi}{2}}\int_{0}^{1}(1-r^{2})rdrd\theta$
r minus r cubed,$(r-r^{3})$,https://www.youtube.com/watch?v=60e4hdCi1D4,R minus R cubed.,r minus r cubed.,$(r-r^{3})$
r to the four over four, $\frac{r^4}{4}$,https://www.youtube.com/watch?v=60e4hdCi1D4,Arming out to the fore cryofre,out of the four over four.,$\mathrm{Aut}(\frac{4}{4})$
one-half m v squared,$\frac{1}{2}mv^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,0.5 of 2.5 of 2.5.,1 half m v squared.,"$\frac{1}{2}M\,V^{2}$"
one-half m r squared omega squared,$\frac{1}{2}mr^{2}\omega^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,1.5 m r squared omega squared.,one-half m r squared omega squared.,$\frac{1}{2}MR^{2}\Omega^{2}$
x squared plus y squared,$x^{2}+y^{2}$,https://www.youtube.com/watch?v=60e4hdCi1D4,X-quępus waist Io.,x squared plus y squared.,$x^{2}+y^{2}$
pi a to the four over two,$\pi a^{4} \over 2$,https://www.youtube.com/watch?v=60e4hdCi1D4,by 8 to the 4 of up to.,pi a to the fourth over two.,$\frac{\pie^{4}}{2}$
four a to the four cosine to the four theta,$4a^4\cos^{4}\theta$,https://www.youtube.com/watch?v=60e4hdCi1D4,"4, 8, 4, cos 9 to the 4 theta.",4a to the 4 cosine to the 4 theta.,$4a^{4}\cos^{4}\theta$
three halves of pi a to the fourth,$\frac{3}{2}(\pi a^{4})$,https://www.youtube.com/watch?v=60e4hdCi1D4,three halves of pi a to the four.,3.5 pi a to the 4.,$3.5\pie^{4}$
y of t minus two equals t,$y(t)-2=t$,https://www.youtube.com/watch?v=57jzPlxf4fk,y of t minus 2 equals t.,y of t minus two equals t.,$y(t-2)=t$
z of t minus two equals minus 3t,$z(t)-2=-3t$,https://www.youtube.com/watch?v=57jzPlxf4fk,z of t minus 2 equals minus 3t.,z of t minus two equals minus three t.,$z(t-2)=-3t$
minus one plus two t,$\displaystyle -1+2t$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t.,minus 1 plus 2t.,$\displaystyle-1+2t$
y of t equals two plus t,$y(t)=2+t$,https://www.youtube.com/watch?v=57jzPlxf4fk,y of t equals 2 plus t.,y of t equals 2 plus t.,$y(t)=2+t$
z of t equals two minus 3t,$z(t)=2-3t$,https://www.youtube.com/watch?v=57jzPlxf4fk,z of t equals 2 minus 3t.,z of t equals 2 minus 3t.,$z(t)=2-3t$
Q of t is Q0 plus t times the vector Q0 Q1,"$Q(t)=Q_{0}+t\vec{Q_{0},Q_{1}}$",https://www.youtube.com/watch?v=57jzPlxf4fk,Q of t is Q0 plus t times the vector Q0Q1.,Q of t is q0 plus t times the vector q0 q1.,$Q(t)Q_{0}+t\vec{Q}_{0}Q_{1}$
x plus 2y plus 4z equals seven,$x+2y+4z=7$,https://www.youtube.com/watch?v=57jzPlxf4fk,x plus 2y plus 4z equals 7.,x plus 2y plus 4z equals 7.,$x+2y+4z=7$
minus one plus 2t plus twice two plus t plus four times two minus 3t,$(-1+2t)+2(2+t)+4(2-3t)$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t plus twice 2 plus t plus 4 times 2 minus 3t.,minus one plus 2t plus twice 2t plus four times 2 minus 3t.,$-1+2t+2\mathrm{i}\mathrm{is}(2t+4)(2-3t)$
minus one plus four plus eight is eleven,$-1+4+8=11$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 4 plus 8 is 11.,minus one plus four plus eight is 11.,$-1+4+8\text{is11}$
one times two plus two times one plus four times minus three,$1\times2+2\times1+4\times(-3)$.,https://www.youtube.com/watch?v=57jzPlxf4fk,1 times 2 plus 2 times 1 plus 4 times minus 3.,1 times 2 plus 2 times 1 plus 4 times minus 3.,$1\times2+2\times1+4\times-3$
a theta minus a sine theta,$a\theta-a\sin \theta $,https://www.youtube.com/watch?v=57jzPlxf4fk,a theta minus a sine theta.,a theta minus a sine theta.,$A\theta-A\sin\theta$
x of theta is theta minus sine theta,$x(\theta) = \theta-\sin \theta$,https://www.youtube.com/watch?v=57jzPlxf4fk,X of theta is theta minus sine theta.,X of theta is theta minus sine theta.,$x(\theta)\sin\theta-\sin\theta$
one minus theta squared over two,$1-\theta^{2}\over2$,https://www.youtube.com/watch?v=57jzPlxf4fk,"2, 1 minus theta square over 2.",1 minus theta squared over 2.,$1-\theta^{2}/2$
theta minus theta cubed over six,$\theta-\frac{\theta^{3}}{6}$,https://www.youtube.com/watch?v=57jzPlxf4fk,theta minus theta cubed over 6.,Theta minus theta cubed over six.,$\theta-\frac{\theta^{3}}{6}$
theta squared over two,$\frac{\theta^2}{2}$,https://www.youtube.com/watch?v=57jzPlxf4fk,square of a tube.,theta squared over two.,$\frac{\theta^{2}}{2}$
square root of one minus cosine t squared plus sine squared t,$\sqrt{1-\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 1 minus cosine t squared plus sine square t.,square root of one minus cosine t squared plus sine square t.,$\sqrt{(1-\cost)^{2}+\sin^{2}t}$
square root of one minus two cosine t plus cosine squared t plus sine squared t,$\displaystyle\sqrt{1-2\cos t+\cos ^{2}t+\sin ^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 1 minus 2 cosine t plus cosine square t plus sine square t.,square root of one minus two cosine t plus cosine square t plus sine square t.,$\displaystyle\sqrt{1-2\cost+\cos^{2}t+\sin^{2}t}$
cosine squared plus sine squared,$\cos ^{2}+\sin ^{2}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,go sine square up to sine square,cosine square plus sine square.,$\cos^{2}+\sin^{2}$
square root of two minus two cosine t,$\sqrt{2-2\cos t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 2 minus 2 cosine t.,root of 2 minus 2 cosine t.,$root(2-2\cost)$
d by dt of r cross v is the zero vector,$\displaystyle\frac{d}{dt}(\mathbf{r}\times\mathbf{v})=\mathbf{0}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,d by dt of 1 cross v is 0 vector.,d by dt of r cross v is the zero vector.,$\displaystyle\frac{d}{dt}(\mathbf{R}\times\mathbf{v})\text{isthezerovector}$
uv prime equals u prime v plus u v prime,$(uv)^{\prime}=u^{\prime}v+uv^{\prime}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,uv prime equals u prime v plus uv prime.,uv prime equals u prime v plus uv prime.,$uv^{\prime}=u^{\prime}v+uv^{\prime}$
dr dt cross v plus r cross dv dt,$\displaystyle\frac{d\mathbf{r}}{dt}\times \mathbf{v}+\mathbf{r}\times \frac{d\mathbf{v}}{dt}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,dR dt cos v plus 1 cos dV dt.,dR dt cross v plus R cross dv dt.,$\displaystyle\frac{d\mathbf{r}}{dt}\times\mathbf{v}+\mathbf{r}\times\frac{d%\mathbf{v}}{dt}$
the antiderivative of sine x cosine x,$\int{\sin x \cos x} dx$,https://www.youtube.com/watch?v=60VGKnYBpbg,The anti-derivative of sine x cosine x.,The antiderivative of sine x cosine x.,"$\{\sinx,\cosx\}$"
C1 minus C2 plus a half is equal to zero,$\mathcal{C}_{1}-\mathcal{C}_{2}+\frac{1}{2}=0$,https://www.youtube.com/watch?v=60VGKnYBpbg,C1 minus C2 plus a half is equal to zero.,C1 minus C2 plus 1 by 2 is equal to 0.,$\mathcal{C}_{1}-\mathcal{C}_{2}+\frac{1}{2}:=0$
minus x squared over two,$-\frac{x^{2}}{2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,minus x squared over 2.,minus x squared over 2.,$-\frac{x^{2}}{2}$
A e to the minus x squared over two,$Ae^{-\frac{x^{2}}{2}}$,https://www.youtube.com/watch?v=60VGKnYBpbg,A e to the minus x squared over 2.,a e to the minus x squared over 2.,$ae^{-x^{2}/2}$
a times d by dx of e to the minus x squared over two,$\displaystyle a\frac{d}{dx}(e^{-\frac{x^{2}}{2}})$,https://www.youtube.com/watch?v=60VGKnYBpbg,A times d by dx of e to the minus x squared over 2.,a times d by dx of e to the minus x squared over 2.,$\displaystylea\frac{d}{dx}(E_{\tau}-\frac{x^{2}}{2})$
h inverse of f of x plus c,$h^{-1}(f(x))+c$,https://www.youtube.com/watch?v=60VGKnYBpbg,to h inverse of f of x plus c.,To h inverse of f of x plus c.,$2h^{-1}(f(x)+c)$
natural log of absolute y is equal to minus x squared over 2 plus c,$\ln(|y|)=-\frac{x^{2}}{2}+c$,https://www.youtube.com/watch?v=60VGKnYBpbg,Natural log of absolute y is equal to minus x squared over 2 plus c.,Natural log of absolute y is equal to minus x squared over,$\ln|y|:=-\frac{x^{2}}{xy}$
plus or minus a e to the minus x squared over two,$\pm ae^{-x^{2}/2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,plus or minus a e to the minus x squared over 2.,Plus or minus a e to the minus x squared over 2.,$\pmae^{-x^{2}/2}$
log y plus c one is equal to minus x squared over two plus c two,$\log y+c_{1}=-\frac{x^{2}}{2}+c_2$,https://www.youtube.com/watch?v=60VGKnYBpbg,Log y plus c1 is equal to minus x squared over 2 plus c2.,Log y plus c1 is equal to minus x squared over 2 plus c2.,$\logy+C_{1}:=-\frac{x^{2}}{2}+C_{2}$
log y is equal to minus x squared over 2 plus c2 minus c1,$\log y=-\frac{x^{2}}{2}+c_{2}-c_{1}$,https://www.youtube.com/watch?v=60VGKnYBpbg,The log y is equal to minus x squared over 2 plus c2 minus c1.,So log y is equal to minus x squared over 2 plus c2 minus c1.,$X\oplus\logy:=xn-\frac{x^{2}}{2}+c2-c_{1}$
a times e to the minus 0 squared over 2 is equal to 3,$ae^{-\frac{0^{2}}{2}}=3$,https://www.youtube.com/watch?v=60VGKnYBpbg,A times e to the minus 0 squared over 2 is equal to 3.,a times e to the minus 0 squared over 2 is equal to 3.,$ae^{-\frac{0^{2}}{2}}=3$
y is equal to 3e to the minus x squared over 2,$y = 3e^{-x^{2}/2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,So y is equal to 3 e to the minus x squared over 2.,y is equal to 3 e to the minus x squared over 2.,$y:=3e^{-x^{2}/2}$
twice the logarithm of x plus a constant,$2\log(x)+\text{c}$,https://www.youtube.com/watch?v=60VGKnYBpbg,twice the logarithm of x plus a constant.,"twice the logarithm of x, plus a constant.",$2\log(x)+\text{const.}$
e to the log y is equal to e to the 2 log x plus c,$e^{\log y} = e^{2\log(x)+c}$,https://www.youtube.com/watch?v=60VGKnYBpbg,e to the log y is equal to e to the 2 log x plus c.,e to the log y is equal to e to the 2 log x plus c.,$\mathbb{E}^{\log}y:=e^{2\logx+c}$
e to the log x squared,$(e^{\log x})^2$,https://www.youtube.com/watch?v=60VGKnYBpbg,e to the log x squared.,e to the log x squared.,$e^{(\logx)^{2}}$
minus 1 divided by 2 y divided by x,$-\frac{1}{2(y/x)}$,https://www.youtube.com/watch?v=60VGKnYBpbg,minus 1 divided by 2y divided by x.,Minus 1 divided by 2 y divided by x.,"$-1/2,y/x$"
dy dx is equal to minus x over 2y,$\frac{dy}{dx} = -\frac{x}{2y}$,https://www.youtube.com/watch?v=60VGKnYBpbg,dy dx is equal to minus x over 2y.,dy dx is equal to minus x over 2y.,$dydx:=-\frac{x}{2}y$
x squared over 2 plus y squared,$\frac{x^{2}}{2}+y^{2}$,https://www.youtube.com/watch?v=60VGKnYBpbg,x squared over 2 plus y squared.,"x squared over 2, plus y squared.",$\frac{x^{2}}{2}+y^{2}$
y is equal to minus the square root of a squared minus x squared over two,$y=-\sqrt{a^{2}-\frac{x^{2}}{2}}$,https://www.youtube.com/watch?v=60VGKnYBpbg,y is equal to minus the square root of a squared minus x squared over 2.,y is equal to minus the square root of a squared minus x squared over 2.,$y:=a-\sqrt{a^{2}-\frac{x^{2}}{2}}$
 x to the 1 half times 2,$x^{\frac{1}{2}} \times (2)$,https://www.youtube.com/watch?v=MK_0QHbUnIA,x to the 1 half times 2.,x to the 1 half times 2.,$x^{1/2}Du$
dx over x to the p,$\frac{dx}{x^{p}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,d x over x to the p.,dx over x to the p.,$\frac{dx}{x^{p}}$
1 over 1 minus p,$\frac{1}{1-p}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over 1 minus p.,1 over 1 minus p.,$\frac{1}{1-p}$
the integral from 1 to infinity dx over x, $\int_{1}^{\infty} \frac{dx}{x}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,The integral from one to infinity dx over x.,The integral from 1 to infinity dx over x.,$b\int_{1}^{\infty}\frac{dx}{x}$
y equals 1 over the square root of x,$y=1/\sqrt{x}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,y equals 1 over the square root of x.,y equals 1 over the square root of x.,$y=1/\sqrt{x}$
y equals 1 over x minus 3 squared,$y=\frac{1}{(x-3)^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,y equals 1 over x minus 3 squared.,y equals 1 over x minus 3 squared.,$y=\frac{1}{(x-3)^{2}}$
1 plus a plus a squared,$1+a+a^{2}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus a plus a squared.,It's 1 plus a plus a squared.,$\mathrm{id}_{1}+A+A^{2}$
one over one minus a,$\frac{1}{1-a}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over 1 minus a.,1 over 1 minus a.,$\frac{1}{1-a}$
sum 1 over n squared n equals 1 to infinity,$\sum_{n=1}^{\infty} 1/n^{2}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,"to sum 1 over n squared, n equals 1 to infinity.","to sum 1 over n squared, n equals 1 to infinity.",$\{t_{1/n}^{2}\}_{n=1}^{\infty}$
pi squared over 6,$\frac{\pi^{2}}{6}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,pi squared over 6.,Pi squared over 6.,$\frac{\pi^{2}}{6}$
one over n cubed,$\frac{1}{n^{3}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,One over and cubed.,1 over n cubed.,$\frac{1}{n^{3}}$
one plus one over two plus all the way up to one over n minus one plus 1 over n,$1+\frac{1}{2}+\mathrm{\ldots}+\frac{1}{n-1}+\frac{1}{n}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.,$1+\frac{1}{2}+O(\mathrm{Wi}^{\uparrow}\frac{1}{n-1}+\frac{1}{n})$
a half plus a third,$\frac{1}{2}+\frac{1}{3}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1.5 plus 1.3.,A half plus a third.,$a_{\text{half}}+a_{\text{third}}$
1 over n squared plus 1 square root,$\frac{1}{n^{2} + 1}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over n squared plus 1 squared root.,1 over n squared plus 1 square root.,$\frac{1}{n^{2}+1}\surd$
sum one over n to the five-halves,$\sum\frac{1}{n^{5/2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,some 1 over n to the 5 halves.,Sum 1 over n to the 5 halves.,$\sum\frac{1}{n^{5/2}}$
one times one plus two times minus two plus minus three times one,$1\times1+2\times(-2)+(-3)\times1$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,"1 times 1 plus 2 times minus 2, minus 3 times 1.",1 times 1 plus 2 times minus 2 minus 3 times 1.,$1\times1+2\times-2-3\times1$
x plus 3y plus z equals zero,$x+3y+z=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x plus free y plus z equals zero.,x y z equals zero.,$\displaystylexyz=0$
 minus 2x minus z will be x plus 3y plus z,$-2x-z\operatorname{=}x+3y+z$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,minus 2x minus z will be x plus 3y plus z.,2x minus z will be x plus free y plus z.,"$(2x-z,\mubx+3y+z)$"
x equals minus 3t,$x=-3t$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x equals minus 3t.,x equals minus 3t.,"$x=a-3t,$"
y equals 3t,$y=3\mathfrak{t}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,y equals 3t,y equals 3t.,$\mathcal{Y}=3T$
z equals negative 6t,$z\!=\!-6t$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,z equals negative 60.,z equals negative 60.,$z\!=\!-60$
dr dt dot r plus r dot dr dt,$\displaystyle \frac{dr}{dt}\cdot{r}+r\cdot\frac{dr}{dt}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,d r d t dot 1 plus 1 dot d r d t.,dr dt dot r plus r dot dr dt.,"$\displaystyle\mathrm{d}r\,\mathrm{d}t\cdotR+R\cdot\mathrm{d}r\,\mathrm{d}t$"
d by dt of r dot r is zero,$\displaystyle \frac{d}{dt}(\mathbf{r}\cdot\mathbf{r})=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,d by dt of r dot r is 0.,d by dt of r dot r is zero.,$\displaystyle\frac{d}{dt}(\mathbf{r}\cdot\mathbf{r})=0$
